NAME,Median_Income,Child_Poverty_Count,Child_Poverty_Rate,Poverty_Count,Poverty_Rate,All_Child_Poverty_Count,All_Poverty_Count,STABREV,STATE,YEAR,Z_score
Illinois,57458,591750,20.1,1802337,14.3,2938448,12571810,IL,17,2014,0.31782808270404433
Indiana,49384,328349,21.2,968437,15.2,1545261,6391497,IN,18,2014,0.6053229108932592
Iowa,53816,110382,15.5,368678,12.3,710872,3004852,IA,19,2014,-0.3210493132719896
Kansas,52392,125562,17.6,381506,13.5,711445,2821429,KS,20,2014,0.06227712431363054
Kentucky,42914,256368,25.9,812803,19.0,988287,4275418,KY,21,2014,1.8191899632477238
Louisiana,44680,307469,28.0,898902,19.9,1097124,4518537,LA,22,2014,2.1066847914369387
Maine,49381,47862,19.0,181737,14.0,251940,1293998,ME,23,2014,0.22199647330763903
Maryland,73851,183531,13.8,604762,10.4,1330462,5835382,MD,24,2014,-0.9279828394492219
Massachusetts,69200,209291,15.3,760211,11.7,1370436,6509684,MA,25,2014,-0.5127125320648002
Michigan,49755,492257,22.6,1567465,16.2,2181665,9686780,MI,26,2014,0.9247616088812761
Minnesota,61473,186025,14.8,607870,11.4,1260939,5332572,MN,27,2014,-0.608544141461205
Mississippi,39738,220885,30.7,634960,21.9,719646,2895486,MS,28,2014,2.7455621874129723
Missouri,48288,289287,21.3,908394,15.5,1360550,5878633,MO,29,2014,0.7011545202896644
Montana,46608,42150,19.2,151915,15.2,219300,997959,MT,30,2014,0.6053229108932592
Nebraska,52803,73270,16.0,225054,12.3,458792,1828140,NE,31,2014,-0.3210493132719896
Nevada,51487,144947,22.2,430447,15.4,654323,2800763,NV,32,2014,0.6692106504908628
New Hampshire,66469,33155,12.6,117822,9.2,264074,1287504,NH,33,2014,-1.3113092770348427
New Jersey,71968,314073,15.8,972441,11.1,1989086,8762155,NJ,34,2014,-0.7043757508576103
New Mexico,44905,138918,28.0,420388,20.6,496465,2045506,NM,35,2014,2.3302918800285513
New York,58771,949253,22.9,3082613,16.0,4153197,19228484,NY,36,2014,0.8608738692836729
North Carolina,46596,544149,24.1,1663954,17.2,2256859,9691813,NC,37,2014,1.244200306869293
North Dakota,60227,22572,13.7,79203,11.1,164329,712526,ND,38,2014,-0.7043757508576103
Ohio,49349,588618,22.7,1778288,15.8,2593237,11276366,OH,39,2014,0.7969861296860697
Oklahoma,47524,209022,22.4,623162,16.6,931886,3759494,OK,40,2014,1.0525370880764835
Oregon,51088,179110,21.3,637156,16.4,839659,3893489,OR,41,2014,0.9886493484788793
Pennsylvania,53224,510371,19.2,1679008,13.6,2655076,12371337,PA,42,2014,0.09422099411243212
Rhode Island,54797,44563,21.2,149825,14.8,210531,1015656,RI,44,2014,0.4775474316980528
South Carolina,45337,281738,26.4,838065,17.9,1067825,4691566,SC,45,2014,1.4678073954609048
South Dakota,51059,37836,18.4,115906,14.1,206028,824377,SD,46,2014,0.2539403431064406
Tennessee,44357,380159,25.9,1165245,18.2,1468785,6386629,TN,47,2014,1.5636390048573099
Texas,53067,1721843,24.5,4519548,17.2,7030708,26340274,TX,48,2014,1.244200306869293
Utah,60943,120155,13.4,341587,11.8,893699,2897763,UT,49,2014,-0.48076866226599807
Vermont,54153,18374,15.4,72294,12.0,118968,601822,VT,50,2014,-0.4168809226683949
Virginia,64923,292525,15.9,955541,11.8,1842990,8080272,VA,51,2014,-0.48076866226599807
Washington,61358,275662,17.5,913463,13.2,1574226,6927892,WA,53,2014,-0.03355448508277477
West Virginia,41030,91659,25.0,328734,18.3,367288,1793046,WV,54,2014,1.595582874656112
Wisconsin,52632,233850,18.4,737307,13.2,1273686,5603483,WI,55,2014,-0.03355448508277477
Wyoming,58291,18580,13.7,63860,11.2,135961,570142,WY,56,2014,-0.6724318810588087
Alabama,44833,288450,26.5,875853,18.5,1087692,4736374,AL,1,2015,1.6594706142537152
Alaska,73391,26564,14.5,74941,10.4,182947,720764,AK,2,2015,-0.9279828394492219
Arizona,51473,394337,24.7,1159046,17.4,1595858,6671708,AZ,4,2015,1.3080880464668962
Arkansas,42046,182238,26.4,540733,18.7,689149,2887336,AR,5,2015,1.7233583538513184
California,64483,1901985,21.2,5896255,15.4,8982601,38398077,CA,6,2015,0.6692106504908628
Colorado,63945,183216,14.8,614410,11.5,1239846,5339619,CO,8,2015,-0.5766002716624034
Connecticut,71333,110143,14.6,367867,10.6,753352,3480915,CT,9,2015,-0.8640950998516187
Delaware,61327,38446,19.1,115655,12.6,201645,920351,DE,10,2015,-0.22521770387558482
District of Columbia,73115,32947,28.3,113185,17.7,116615,638024,DC,11,2015,1.4039196558633016
Florida,49416,944415,23.4,3129061,15.8,4036757,19850025,FL,12,2015,0.7969861296860697
Georgia,51225,610161,24.7,1705831,17.2,2467585,9943136,GA,13,2015,1.244200306869293
Hawaii,73097,44299,14.5,149091,10.7,305442,1394130,HI,15,2015,-0.8321512300528171
Idaho,48311,75056,17.7,238646,14.7,425224,1622106,ID,16,2015,0.44560356189925066
Illinois,59590,557787,19.1,1702210,13.6,2915674,12559451,IL,17,2015,0.09422099411243212
Indiana,50510,314486,20.4,924428,14.4,1545123,6417433,IN,18,2015,0.34977195250284593
Iowa,54843,106192,14.9,366453,12.1,714884,3021824,IA,19,2015,-0.3849370528695933
Kansas,53802,119994,16.9,366069,12.9,710104,2830955,KS,20,2015,-0.1293860944791795
Kentucky,45178,250180,25.3,786345,18.3,988644,4290011,KY,21,2015,1.595582874656112
Louisiana,45829,309187,28.1,885846,19.5,1100207,4541708,LA,22,2015,1.9789093122417323
Maine,51419,43683,17.5,171266,13.2,249203,1292986,ME,23,2015,-0.03355448508277477
Maryland,75784,184229,13.9,583369,9.9,1326158,5863287,MD,24,2015,-1.0877021884432303
Massachusetts,70659,203789,14.9,752453,11.5,1367029,6558724,MA,25,2015,-0.5766002716624034
Michigan,51063,481421,22.2,1524330,15.7,2164207,9698423,MI,26,2015,0.7650422598872676
Minnesota,63459,165217,13.1,546499,10.2,1263894,5366578,MN,27,2015,-0.9918705790468256
Mississippi,40630,225347,31.5,638919,22.1,715914,2896612,MS,28,2015,2.8094499270105766
Missouri,50200,277687,20.4,875704,14.8,1362505,5901975,MO,29,2015,0.4775474316980528
Montana,49650,41503,18.8,144634,14.4,221036,1007722,MT,30,2015,0.34977195250284593
Nebraska,55073,73349,15.9,224696,12.2,462607,1842687,NE,31,2015,-0.35299318307079175
Nevada,52544,142071,21.6,424824,14.9,658288,2850466,NV,32,2015,0.5094913014968544
New Hampshire,70003,28590,11.0,108293,8.4,258912,1288048,NH,33,2015,-1.5668602354252559
New Jersey,72337,306606,15.5,945989,10.8,1975646,8781579,NJ,34,2015,-0.800207360254015
New Mexico,45524,133471,27.2,405364,19.8,490693,2044455,NM,35,2015,2.0747409216381376
New York,60805,921512,22.3,2985604,15.5,4133771,19283863,NY,36,2015,0.7011545202896644
North Carolina,47884,528760,23.4,1607249,16.4,2257621,9790028,NC,37,2015,0.9886493484788793
North Dakota,61674,20716,12.1,78613,10.7,170998,731319,ND,38,2015,-0.8321512300528171
Ohio,51086,546968,21.2,1670487,14.8,2583951,11295380,OH,39,2015,0.4775474316980528
Oklahoma,48595,207539,22.0,608507,16.0,943228,3795734,OK,40,2015,0.8608738692836729
Oregon,54074,167322,19.8,601626,15.2,844164,3952049,OR,41,2015,0.6053229108932592
Pennsylvania,55683,505576,19.1,1624991,13.1,2642581,12385763,PA,42,2015,-0.06549835488157635
Rhode Island,57265,43057,20.6,143724,14.1,208665,1016344,RI,44,2015,0.2539403431064406
South Carolina,47308,260646,24.4,796609,16.8,1069113,4750107,SC,45,2015,1.1164248276740867
South Dakota,53263,36584,17.7,111697,13.5,206899,829616,SD,46,2015,0.06227712431363054
Tennessee,47243,355680,24.1,1077866,16.7,1473512,6440331,TN,47,2015,1.0844809578752845
Texas,55668,1634149,22.9,4255690,15.9,7123991,26846185,TX,48,2015,0.8289299994848713
Utah,62961,115511,12.8,331233,11.2,900888,2947857,UT,49,2015,-0.6724318810588087
Vermont,56883,16009,13.7,62643,10.4,116697,600659,VT,50,2015,-0.9279828394492219
Virginia,66263,275747,15.0,914226,11.2,1841596,8131331,VA,51,2015,-0.6724318810588087
Washington,64080,248383,15.7,860734,12.2,1583165,7036738,WA,53,2015,-0.35299318307079175
West Virginia,41969,91962,24.7,322589,18.0,371612,1793098,WV,54,2015,1.499751265259707
Wisconsin,55623,209382,16.5,679937,12.1,1270262,5620187,WI,55,2015,-0.3849370528695933
Wyoming,61213,17725,13.0,60787,10.6,136630,572327,WY,56,2015,-0.8640950998516187
Alabama,49881,255613,23.9,801758,16.8,1069994,4763811,AL,1,2018,1.1164248276740867
Alaska,74912,26096,14.5,80224,11.1,180420,720866,AK,2,2018,-0.7043757508576103
Arizona,59079,328780,20.4,990291,14.1,1615594,7013461,AZ,4,2018,0.2539403431064406
Arkansas,47094,164056,23.8,492306,16.8,689552,2925473,AR,5,2018,1.1164248276740867
California,75250,1539628,17.4,4972955,12.8,8861486,38818530,CA,6,2018,-0.1613299642779811
Colorado,71949,151618,12.1,540579,9.7,1251339,5577050,CO,8,2018,-1.1515899280408342
Connecticut,76366,100250,13.8,358519,10.3,726379,3468263,CT,9,2018,-0.9599267092480235
Delaware,65467,35031,17.6,114691,12.2,199375,940779,DE,10,2018,-0.35299318307079175
District of Columbia,82533,30803,24.5,107806,16.1,125960,669029,DC,11,2018,0.8928177390824751
